feed,PC1
BabyBirdBlend,-1.7297105618222923
BreederAdvance Complete,0.7655904797773515
BreederChoice Complete,-5.220304723895911
BreederElite Complete,0.657041023021781
BreederOptimal Formula,3.529036128344463
BreederPerfect Plus,-1.3625398834264726
BreederPrime Formula,0.18769789696856343
BreederVital Premium,-1.1454992268965707
BroilerBoost Supreme,1.0518120186009234
BroilerBulk Ultra,4.639335559173888
BroilerCharge Complete,0.07162048064188496
BroilerComplete Plus,0.5903493787846722
BroilerPlus Advanced,0.9750067275737762
ChickBoost Complete,0.39165087150909456
ChickLaunch Pro,5.342570495458759
ChickStart Plus,-0.4372529681833178
ClutchBoost Supreme,0.3093448252460861
ClutchMaster Formula,-1.07804723582025
ClutchPower Premium,-1.369058797174569
DevelopPro Advanced,-0.6724142106659596
EarlyGrow Formula,1.1942800149920165
EggBoost Supreme,1.0890495918727334
EggMaster Premium,1.964308122578559
EggQuality Enhanced,-0.134379630330138
EggStream Formula,-0.169072736557735
EggToChick Plus,2.9074562156277133
EggcellenceBlend,-4.540824569095327
EndStage Enhanced,-1.492693171849374
FastFinish Formula,0.872466031067694
FeatherFill Premium,-0.6794441926768158
FeatherUp Complete,1.8453113976564828
FecundityBoost Complete,-2.1840741580817067
FertileEgg Premium,3.4896062786139654
FertileLayer Complete,-0.5532239396267107
FertileSupport Enhanced,-0.4160879015282724
FertilityMax Formula,1.9551393870398073
FertilityPlus Complete,-0.6674182982415596
FinalBoost Premium,0.3487025552237713
FinalPhase Complete,1.4358600392234606
FineMeat Formula,5.122584337220282
FinishLine Enhanced,-3.886988932311739
FinishPro Supreme,-0.29984316502781355
FinishRight Premium,1.936738887046055
FirstFeather Nutrition,4.711894486516718
FirstPeck,2.1653408680945057
FledglingBlend,0.3289631241991043
GrowStrong Advanced,-1.5591181745777254
GrowthBurst Formula,1.5556540057450436
GrowthFinish Advanced,-3.9806199993664713
GrowthMax Complete,0.3341814553015199
HatchMate Premier,0.24781621061571088
HatchMore Premium,3.196798676008831
HatchPro Complete,-0.3540691594869713
HatchRate Pro,1.128213106232523
HatchSuccess Formula,-4.297768814189498
HatchlingEssentials,5.124841153388838
JuniorLayer Prep,-1.3813795489910234
JuvenileBlend Plus,0.25324603723193445
LastBoost Complete,-0.5923244319953578
LastStage Enhanced,0.9383262176709364
LayMore Gold,2.1636112428322676
LayWell Complete,1.3829697533512062
LayerLuxe Complete,-2.462444738349349
LayerProducer Plus,-0.4036836618747064
MarketMax Formula,-0.6493117164578889
MarketPrep Formula,4.9566649340300755
MarketReady Formula,-0.8415243156060279
MatureBlend Complete,-4.676344879574126
MeatMaker Premium,1.4733013511080224
MeatMax Complete,-0.038582752326082145
MeatYield Advanced,-4.243759871253875
MidGrow Formula,-3.238691952446657
MidStageNutrition,-4.574950416895296
MuscleBuilder Pro,-0.7118790267585949
NestResult Formula,-4.464030363339804
NestStart Gold,0.6360752423865916
OmegaEgg Enhanced,-1.0433034867721507
PeakLay Advanced,1.5494819971140281
PeepNourish,-0.9561560679929757
PeepStart Max,-2.0370829328013866
PerfectFinish Pro,-3.912156866500144
PrimeFinish Complete,-4.081012534266731
ProteinPeak Complete,-1.737345340106313
PulletDevelop Formula,-0.47969678916518255
PulletFirst Complete,-1.0255827666608308
PulletPower Premium,-1.8181820541100455
QuickGrow Formula,-1.092927311679975
RapidGrow Complete,4.206129346577776
RapidMeat Enhanced,-1.9358312820364099
ReadyWeight Complete,2.431806434830318
ReproMax Enhanced,-3.355700653088867
ReproNutrient Formula,0.9070497638518948
ReproSuccess Formula,-0.8373852112488178
ShellBuilder Pro,0.49816146936732136
ShellMax Enhanced,4.342043704124371
ShellStrength Pro,0.6689899916114076
StartRight Formula,2.3780462999188052
TeenChick Formula,1.2755271265248715
WeightGain Pro,-0.020525547008442363
YolkPerfect Premium,-0.6854417717581496
